week,category,weekly_rank,show_title,season_title,weekly_hours_viewed,runtime,weekly_views,cumulative_weeks_in_top_10,is_staggered_launch,episode_launch_details
6/9/24,TV (Non-English),3,The Atypical Family,The Atypical Family: Limited Series,19800000,0,1800000,5,TRUE,"[{""episodesLaunched"":11,""countryList"":[""FJ"",""TW"",""MV"",""KH"",""KR"",""MY"",""HK"",""VN"",""NU"",""JP"",""BD"",""LA"",""MO"",""PF"",""CX"",""SB"",""CC"",""IN"",""NP"",""VU"",""PN"",""NZ"",""TO"",""PG"",""WF"",""CK"",""LK"",""WS"",""ID"",""PH"",""TK"",""BN"",""TL"",""UM"",""TH"",""NF"",""MN"",""BT"",""MM"",""NC"",""NR"",""AU"",""TV"",""KI"",""SG""]},{""episodesLaunched"":12,""countryList"":[""CV"",""CD"",""VC"",""MK"",""KM"",""SR"",""DZ"",""TC"",""FI"",""TG"",""TD"",""LR"",""GH"",""CI"",""MT"",""RO"",""IE"",""IO"",""HR"",""AE"",""GW"",""ME"",""BG"",""HU"",""GP"",""MD"",""KW"",""LB"",""KN"",""AL"",""PK"",""SS"",""BQ"",""IM"",""PS"",""EG"",""AF"",""SN"",""LT"",""CG"",""IL"",""DM"",""GL"",""MR"",""US"",""LS"",""BJ"",""SC"",""VG"",""MQ"",""DK"",""KY"",""UG"",""NA"",""QA"",""RS"",""NL"",""AO"",""VI"",""GF"",""GD"",""MA"",""NG"",""IS"",""RU"",""CM"",""DE"",""CF"",""ZM"",""ZA"",""SE"",""BL"",""IQ"",""CA"",""LC"",""SK"",""SO"",""GN"",""LU"",""BW"",""GI"",""FM"",""PW"",""SI"",""TN"",""GB"",""SD"",""AD"",""SM"",""AS"",""FO"",""GS"",""ET"",""SA"",""SL"",""BI"",""AZ"",""BE"",""AQ"",""IR"",""JM"",""BS"",""HT"",""BB"",""ER"",""RW"",""CH"",""AG"",""IT"",""PT"",""JE"",""ST"",""CW"",""SX"",""CY"",""VA"",""BM"",""MW"",""AW"",""MG"",""NE"",""GG"",""GE"",""DJ"",""CZ"",""YT"",""NO"",""UZ"",""OM"",""TR"",""TZ"",""ZW"",""FR"",""KZ"",""GR"",""GU"",""GM"",""MP"",""HM"",""KE"",""TJ"",""RE"",""SH"",""BF"",""BH"",""BA"",""PL"",""TM"",""LI"",""SZ"",""AM"",""MS"",""LV"",""JO"",""LY"",""KG"",""FK"",""ES"",""MZ"",""MH"",""MC"",""EE"",""BY"",""AI"",""AT"",""UA"",""EH"",""GA"",""MF"",""GY"",""PM"",""ML"",""YE"",""MU"",""TT""]},{""episodesLaunched"":6,""countryList"":[""HN"",""DO"",""PY"",""GT"",""GQ"",""SV"",""BR"",""BZ"",""CU"",""CR"",""PA"",""EC"",""CO"",""CL"",""AR"",""MX"",""PE"",""BO"",""NI"",""UY"",""VE"",""PR""]}]"
6/9/24,TV (Non-English),4,Demon Slayer: Kimetsu no Yaiba,Demon Slayer: Kimetsu no Yaiba: Hashira Training Arc,3400000,0,1700000,4,TRUE,"[{""episodesLaunched"":4,""countryList"":[""MV"",""PK"",""TH"",""MN"",""SG"",""BN"",""KR"",""MY"",""ID"",""LA"",""VN"",""JP"",""BD"",""TW"",""LK"",""BT"",""KH"",""MM"",""PH"",""TL"",""IN"",""NP""]},{""episodesLaunched"":2,""countryList"":[""HK"",""MO""]}]"
6/9/24,TV (Non-English),5,How to Ruin Love,How to Ruin Love: The Proposal,4900000,3.15,1600000,1,FALSE,
6/9/24,TV (Non-English),6,The 8 Show,The 8 Show: Limited Series,10300000,6.9833,1500000,4,FALSE,
6/9/24,TV (Non-English),7,The Life You Wanted,The Life You Wanted: Limited Series,6400000,4.8667,1300000,2,FALSE,
6/9/24,TV (Non-English),8,Hell's Paradise: Jigokuraku,Hell's Paradise: Jigokuraku: Season 1,4600000,5.3,900000,1,FALSE,
6/9/24,TV (Non-English),9,Queen of Tears,Queen of Tears: Limited Series,19700000,23.3667,800000,14,FALSE,
6/9/24,TV (Non-English),10,"Thank You, Next","Thank You, Next: Season 1",4900000,5.8667,800000,5,FALSE,
6/2/24,Films (English),1,Atlas,N/A,63100000,2,31600000,2,FALSE,
6/2/24,Films (English),2,Ice Age: Collision Course,N/A,14500000,1.6167,9000000,2,FALSE,
6/2/24,Films (English),3,Ice Age: Dawn of the Dinosaurs,N/A,12900000,1.5833,8100000,2,FALSE,
6/2/24,Films (English),4,Mother of the Bride,N/A,9300000,1.5,6200000,4,FALSE,
6/2/24,Films (English),5,Thelma the Unicorn,N/A,9100000,1.6333,5600000,3,FALSE,
6/2/24,Films (English),6,Transformers: Rise of the Beasts,N/A,11100000,2.1167,5200000,1,FALSE,
6/2/24,Films (English),7,Sing 2,N/A,8800000,1.8333,4800000,11,FALSE,
6/2/24,Films (English),8,Security,N/A,6700000,1.5333,4400000,4,FALSE,
6/2/24,Films (English),9,Cold Meat,N/A,5800000,1.4833,3900000,1,FALSE,
6/2/24,Films (English),10,Madame Web,N/A,5900000,1.9333,3100000,3,FALSE,
6/2/24,Films (Non-English),1,Colors of Evil: Red,N/A,37200000,1.8667,19900000,1,FALSE,
6/2/24,Films (Non-English),2,Crew,N/A,18000000,2.0167,8900000,2,FALSE,
6/2/24,Films (Non-English),3,Bionic,N/A,12900000,1.85,7000000,1,FALSE,
6/2/24,Films (Non-English),4,Godzilla Minus One,N/A,12900000,2.1,6100000,1,FALSE,
6/2/24,Films (Non-English),5,In Good Hands 2,N/A,9200000,1.6667,5500000,2,FALSE,
6/2/24,Films (Non-English),6,In Good Hands,N/A,4100000,1.7667,2300000,7,FALSE,
6/2/24,Films (Non-English),7,Golden Kamuy,N/A,4700000,2.15,2200000,2,FALSE,
6/2/24,Films (Non-English),8,Too Old for Fairy Tales 2,N/A,2400000,1.5833,1500000,1,FALSE,
6/2/24,Films (Non-English),9,Laapataa Ladies,N/A,2900000,2.0667,1400000,6,FALSE,
6/2/24,Films (Non-English),10,The Wages of Fear,N/A,2400000,1.7667,1400000,6,FALSE,
6/2/24,TV (English),1,Bridgerton,Bridgerton: Season 3,42400000,3.6667,11600000,3,FALSE,
6/2/24,TV (English),2,Dancing for the Devil: The 7M TikTok Cult,Dancing for the Devil: The 7M TikTok Cult: Season 1,23500000,2.6833,8800000,1,FALSE,
6/2/24,TV (English),3,Eric,Eric: Limited Series,36500000,5.35,6800000,1,FALSE,
6/2/24,TV (English),4,Jurassic World: Chaos Theory,Jurassic World: Chaos Theory: Season 1,20200000,3.9333,5100000,2,FALSE,
6/2/24,TV (English),5,Bridgerton,Bridgerton: Season 2,34000000,8.5,4000000,18,FALSE,
6/2/24,TV (English),6,Bridgerton,Bridgerton: Season 1,32500000,8.2,4000000,12,FALSE,
6/2/24,TV (English),7,Geek Girl,Geek Girl: Season 1,18900000,5.6333,3400000,1,FALSE,
6/2/24,TV (English),8,Tires,Tires: Season 1,7000000,2.25,3100000,2,FALSE,
